"","US","Spain","Italy","France","Germany","China","United Kingdom","Iran","Turkey","Belgium","Switzerland","Netherlands","Canada","Brazil","Portugal","Austria","Russia","Korea, South","Israel","Sweden","Ireland","India","Ecuador","Chile","Norway","Australia","Denmark","Poland","Peru","Czechia","Japan","Romania","Pakistan","Malaysia","Philippines","Saudi Arabia","Indonesia","Mexico","United Arab Emirates","Luxembourg","Serbia","Finland","Panama","Dominican Republic","Qatar","Colombia","Thailand","Ukraine","Singapore","Greece","South Africa","Belarus","Argentina","Egypt","Algeria","Iceland","Croatia","Morocco","Moldova","New Zealand","Iraq","Estonia","Hungary","Slovenia","Lithuania","Kuwait","Azerbaijan","Armenia","Bahrain","Bosnia and Herzegovina","Cameroon","Kazakhstan","Slovakia","Diamond Princess","North Macedonia","Tunisia","Bulgaria","Uzbekistan","Latvia","Lebanon","Andorra","Cyprus","Cuba","Costa Rica","Afghanistan","Oman","Uruguay","Cote d'Ivoire","Burkina Faso","Niger","Bangladesh","Albania","Honduras","Taiwan*","Ghana","Jordan","Malta","San Marino","Mauritius","Nigeria","Kyrgyzstan","Bolivia","West Bank and Gaza","Senegal","Vietnam","Montenegro","Kosovo","Georgia","Congo (Kinshasa)","Guinea","Sri Lanka","Kenya","Venezuela","Djibouti","Brunei","Paraguay","Guatemala","Cambodia","Rwanda","El Salvador","Trinidad and Tobago","Madagascar","Monaco","Mali","Liechtenstein","Togo","Barbados","Ethiopia","Jamaica","Congo (Brazzaville)","Uganda","Gabon","Bahamas","Zambia","Guyana","Liberia","Guinea-Bissau","Benin","Eritrea","Tanzania","Haiti","Burma","Libya","Somalia","Mozambique","Angola","Antigua and Barbuda","Maldives","Syria","Equatorial Guinea","Sudan","Dominica","Fiji","Laos","Mongolia","Namibia","Saint Lucia","Grenada","Botswana","Zimbabwe","Eswatini","Saint Kitts and Nevis","Saint Vincent and the Grenadines","Chad","Seychelles","Belize","Suriname","Malawi","MS Zaandam","Nepal","Central African Republic","Holy See","Sierra Leone","Cabo Verde","Mauritania","Nicaragua","Bhutan","Gambia","Sao Tome and Principe","South Sudan","Western Sahara","Burundi","Papua New Guinea","Timor-Leste","Yemen"
"1/22/20","1","0","0","0","0","548","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1/23/20","1","0","0","0","0","643","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1/24/20","2","0","0","2","0","920","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1/25/20","2","0","0","3","0","1406","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","7","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1/26/20","5","0","0","3","0","2075","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","4","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","8","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1/27/20","5","0","0","3","1","2877","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","5","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","8","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1/28/20","5","0","0","4","4","5509","0","0","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","5","0","0","0","0","7","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","14","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1/29/20","5","0","0","5","4","6087","0","0","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","6","0","0","0","0","7","0","0","7","0","0","0","0","4","0","0","1","0","0","0","0","14","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1/30/20","5","0","0","5","4","8141","0","0","0","0","0","0","2","0","0","0","0","4","0","0","0","1","0","0","0","9","0","0","0","0","11","0","0","8","1","0","0","0","4","0","0","1","0","0","0","0","14","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1/31/20","7","0","2","5","5","9802","2","0","0","0","0","0","4","0","0","0","2","11","0","1","0","1","0","0","0","9","0","0","0","0","15","0","0","8","1","0","0","0","4","0","0","1","0","0","0","0","19","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
